id,value
id_0,25.249955525
id_1,64.2059510847
id_2,19.2407549701
id_3,28.7127605932
id_4,7.60702739849
id_5,33.1922569807
id_6,42.3780047227
id_7,17.21490515
id_8,51.7033159921
id_9,32.946494948
id_10,39.7614712226
id_11,57.5504755711
id_12,34.8191307672
id_13,41.3942670729
id_14,25.9586690513
id_15,11.1045109179
id_16,50.7296663859
id_17,22.1540297649
id_18,16.5333964104
id_19,18.1354586733
id_20,13.8462747241
id_21,29.9563930922
id_22,36.9802332901
id_23,7.09485589828
id_24,62.6833001202
id_25,45.9382150661
id_26,25.8984306334
id_27,8.81814100907
id_28,28.4371456908
id_29,36.6969560035
id_30,18.269840089
id_31,11.2540377642
id_32,16.5785923523
id_33,5.22544134749
id_34,16.8824718837
id_35,40.6352775173
id_36,19.060672946
id_37,28.2048457089
id_38,10.5087562253
id_39,59.9772125645
id_40,46.5591538202
id_41,17.3642205053
id_42,51.9262237996
id_43,18.6839801105
id_44,43.8742185516
id_45,50.6886898921
id_46,59.5753762111
id_47,41.1294325611
id_48,54.6312437396
id_49,37.7608044834
id_50,29.6954922409
id_51,25.2409140344
id_52,40.1642329455
id_53,25.4959645413
id_54,39.5402480684
id_55,40.4239493638
id_56,24.9559486281
id_57,22.2955874441
id_58,37.6883679165
id_59,30.9787947892
id_60,13.6365234552
id_61,22.6227155139
id_62,32.4452144383
id_63,55.2296890088
id_64,52.2435193671
id_65,27.4698490209
id_66,38.2205579578
id_67,53.7977412038
id_68,30.0029129443
id_69,37.0850273476
id_70,64.6856182129
id_71,53.3240372753
id_72,43.9121360549
id_73,10.6045497295
id_74,13.4346242604
id_75,35.1752945521
id_76,62.944005243
id_77,1.80188922371
id_78,42.0716998498
id_79,39.2614892959
id_80,7.91034621088
id_81,21.7915109667
id_82,5.47430320791
id_83,31.4084496298
id_84,7.58017719261
id_85,6.15523520098
id_86,16.065226422
id_87,12.1090449216
id_88,19.3885311234
id_89,25.6452544972
id_90,32.6333239925
id_91,11.6418212073
id_92,13.839422871
id_93,6.46435123055
id_94,40.361641747
id_95,15.4954386772
id_96,17.0909373778
id_97,9.13477763796
id_98,11.8634040596
id_99,4.28745710978
id_100,10.6930446814
id_101,19.5479887561
id_102,12.586035855
id_103,8.43885176581
id_104,13.0631724998
id_105,36.4037419526
id_106,26.370714113
id_107,6.97794555251
id_108,16.0822807632
id_109,15.954030747
id_110,12.4574338115
id_111,17.4401342495
id_112,15.1750190537
id_113,27.2372877074
id_114,21.1249085094
id_115,15.9515851776
id_116,7.83006506517
id_117,44.4696038266
id_118,26.1930340905
id_119,1.07978948902
id_120,1.22734404105
id_121,9.76315031956
id_122,14.7328079971
id_123,13.9122602823
id_124,8.15313906629
id_125,26.7759726739
id_126,19.2164627218
id_127,11.8290503348
id_128,19.1833571899
id_129,16.9746364379
id_130,3.2654358214
id_131,33.6201952069
id_132,14.8464149148
id_133,25.7849580265
id_134,24.0514039943
id_135,21.4730163472
id_136,10.3860639879
id_137,19.1455609345
id_138,75.1898970431
id_139,61.5188923514
id_140,27.5478286589
id_141,17.0966223504
id_142,23.8377352083
id_143,8.02971557708
id_144,12.9654620844
id_145,10.3225414858
id_146,19.5626573467
id_147,8.89576200692
id_148,13.7700851909
id_149,15.8130478919
id_150,45.9567721287
id_151,21.8897506129
id_152,24.7624466746
id_153,13.5962451478
id_154,15.2005716944
id_155,25.259903482
id_156,23.1212643222
id_157,34.6360211004
id_158,4.77105063722
id_159,21.2169023345
id_160,43.1762614765
id_161,19.3750632823
id_162,58.2393400766
id_163,18.1269177042
id_164,34.8386309255
id_165,25.8007758997
id_166,21.234768737
id_167,1.68487600122
id_168,66.8813200734
id_169,17.9593322215
id_170,17.6892784603
id_171,69.3849475657
id_172,21.2058089471
id_173,2.52119131133
id_174,26.9422454458
id_175,2.41816084554
id_176,6.45402741473
id_177,19.3765789328
id_178,22.3351406787
id_179,23.6119694766
id_180,44.0833737293
id_181,27.8997497086
id_182,28.9766053618
id_183,12.5962817637
id_184,6.52016448919
id_185,41.8483646659
id_186,36.8910352725
id_187,34.6946214903
id_188,15.7764470127
id_189,20.1183539042
id_190,14.8948785936
id_191,15.6959929097
id_192,32.2211147396
id_193,77.1514392525
id_194,29.1995932389
id_195,11.0979550827
id_196,63.3588410546
id_197,15.6457468853
id_198,18.6066415896
id_199,21.2642911206
id_200,126.347486762
id_201,25.1528566559
id_202,57.5511926639
id_203,5.36519065263
id_204,61.4166816544
id_205,34.8247129549
id_206,15.1400864205
id_207,14.0981501845
id_208,65.3113531372
id_209,14.2740670248
id_210,31.6883136605
id_211,70.2228633168
id_212,20.3251653287
id_213,113.671045465
id_214,39.5222681534
id_215,78.9983441972
id_216,92.5738721494
id_217,70.6153328852
id_218,30.2827093729
id_219,18.0149103663
id_220,30.7890593566
id_221,58.9264245693
id_222,26.6341687602
id_223,38.5555838952
id_224,41.9326373515
id_225,9.26004608073
id_226,3.78525276199
id_227,83.2197308205
id_228,29.1563638248
id_229,1.44936116985
id_230,40.8528661628
id_231,14.8869775299
id_232,22.6070063726
id_233,6.74547761077
id_234,11.6105924686
id_235,21.6204785116
id_236,13.1498677106
id_237,1.86703946467
id_238,20.4238986673
id_239,7.20080071744
